source,title,company,location,date,link,description,responsibilities,requirements,skills,languages,experience_years,education_level,contract_type,seniority_level,job_category,detail_scrape_status
EmploiTunisie,"Technicien Supérieur en Génie Civil- El Mourouj, Ben Arous",SM ENGINEERING,Ben Arous,2026-05-18,https://www.emploitunisie.com/recruteur/230464,"SM ENGINEERING Profil de lentreprise Entreprise : SM ENGINEERING Ville : Ben Arous Pays : Tunisie Secteur dactivité : BTP, construction - Immobilier, architecture, urbanisme - Ingénierie, études développement - Services autres Site Internet : non disponible Description de l'entreprise Bureau d'étude en génie civil. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Commercial(e)- Montplaisir Centre Pacha,KARMA SOLUTION,Ariana - Ben Arous - Manouba & Tunis,2026-05-18,https://www.emploitunisie.com/recruteur/234573,"KARMA SOLUTION Profil de lentreprise Entreprise : KARMA SOLUTION Ville : Montplaisir Pays : Tunisie Secteur dactivité : Banque, assurance, finances - Conseil, audit, comptabilité - Informatique, SSII, Internet - Marketing, communication, médias - Services autres Site Internet : https://www.karmasolution.fr/ Description de l'entreprise Découvrez Solution Group, la solution idéale pour la gestion de votre portefeuille. Réduisez le temps consacré à la gestion avec des solutions idéales pour gérer efficacement votre cabinet de courtage. Nous vous offrons une organisation complète, un ensemble de services répondant à vos besoins, ainsi que des gestionnaires d'actifs pour un service de gestion de portefeuilles complet. Notre équipe cumule plus de 10 ans d'expérience dans la transformation des cabinets de courtage en assurance et les developpement web et mobile. Nos offres d'emploi",,,communication,,10 ans d'expérience,,,,IT & Software,ok
EmploiTunisie,ANGULAR Developer (M/F),AFRICASHORE,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba...,2026-04-13,https://www.emploitunisie.com/recruteur/98016,"AFRICASHORE Profil de lentreprise Entreprise : AFRICASHORE Ville : Tunis Pays : Tunisie Secteur dactivité : Informatique, SSII, Internet - Intérim, recrutement Site Internet : https://www.africashore.com/ Description de l'entreprise AFRICASHORE is an IT offshoring platform connecting IT experts and freelancers based in Africa to companies in Africa, Europe, USA, Canada and UAE remotely. Our partners, IT services companies and large groups, trust us to find them the best offshore Africa-based IT freelance consultants. Our IT offshoring platform is present in 37 countries in Africa with a database of 230,000+ IT experts and freelancers classified into 303 IT specialties around 9 IT fields: Database Administration and NoSQL - Network and Telecom Security - ERP and Integrated Management Software - Big Data, Data Science and Business Intelligence (BI) - Programming, Development - IT Project Management - Consulting, Audit, Coaching and Training - Digital Marketing, SEO, Design and Multimedia - Production, Operations and Support. Freelancers, work remotely from Africa on IT projects around the world! Companies, outsource with AFRICASHORE your IT teams and projects offshore to Africa! For more information, please visit our website at https://www.africashore.com Nos offres d'emploi",,,"digital marketing, erp, project management, seo",,,,Freelance,,IT & Software,ok
EmploiTunisie,Nutritionniste  Diététicienne- Sousse,Groupe Médical les Oliviers,Sousse,2026-05-18,https://www.emploitunisie.com/recruteur/67513,"Groupe Médical les Oliviers Profil de lentreprise Entreprise : Groupe Médical les Oliviers Ville : Sousse Pays : Tunisie Secteur dactivité : Santé, pharmacie, hôpitaux, équipements médicaux Site Internet : https://www.cliniquelesoliviers.net/ Description de l'entreprise Depuis sa création en 1976, la Clinique Les Oliviers 1ère clinique historique dans la région, s'est engagée dans la qualité des prestations offertes à ses patients. Réputée pour le corps médical qui s'y exerce ainsi que pour les investissements en terme d'équipements et de matériels de pointe, la Clinique Les Oliviers se positionne aujourd'hui parmi les établissements de santé références en Tunisie. Signe des efforts d'amélioration en continu, la Clinique Les Oliviers a entamé des travaux d'extension et de rénovation de ses locaux qui s'achèveront en 2018. Nos offres d'emploi",,,c#,,,,,,IT & Software,ok
EmploiTunisie,Coordinateur des Approvisionnements,CAPTUNIS,Monastir,2026-05-18,https://www.emploitunisie.com/recruteur/114931,"CAPTUNIS Profil de lentreprise Entreprise : CAPTUNIS Ville : MONASTIR Pays : Tunisie Secteur dactivité : Textile, habillement, cuir, chaussures Site Internet : non disponible Description de l'entreprise Société CAPTUNIS sise au technopole de Monastir totalement exportatrice, notre secteur d'activité : Textile. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Collaborateur(trice) en Comptabilité Française- Bizerte,SB2I,Bizerte,2026-05-18,https://www.emploitunisie.com/recruteur/26498,"SB2I Profil de lentreprise Entreprise : SB2I Ville : Bizerte Pays : Tunisie Secteur dactivité : Conseil, audit, comptabilité Site Internet : non disponible Description de l'entreprise Cabinet Sb2i, spécialisée dans l'externalisation de la paie française et de la comptabilité française. Nos offres d'emploi",,,,french,,,,,IT & Software,ok
EmploiTunisie,Responsable Maintenance Industrielle- Gaafour,TUNIPA S.A,Siliana,2026-05-18,https://www.emploitunisie.com/recruteur/216076,"TUNIPA S.A Profil de lentreprise Entreprise : TUNIPA S.A Ville : Tunis Pays : Tunisie Secteur dactivité : Industrie pharmaceutique - Industrie, production, fabrication, autres - Santé, pharmacie, hôpitaux, équipements médicaux Site Internet : non disponible Description de l'entreprise TUNIPA S.A est une société d'industrie pharmaceutique : fabrication de dispositif médical , siège social à Tunis, usine à zone industrielle Gâafour. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Technicien en Anesthésie et Réanimation- Tunis,TAOUFIK HOSPITALS GROUPE,Ariana & Tunis,2026-05-18,https://www.emploitunisie.com/recruteur/245099,"TAOUFIK HOSPITALS GROUPE Profil de lentreprise Entreprise : TAOUFIK HOSPITALS GROUPE Ville : Tunis Pays : Tunisie Secteur dactivité : Santé, pharmacie, hôpitaux, équipements médicaux - Services autres Site Internet : https://www.taoufikhospitalsgroup.com/ Description de l'entreprise Taoufik Hospitals Group (THG) est la première chaine hospitalière en Tunisie couvrant toutes les spécialités médicochirurgicales sur le Grand Tunis. Il regroupe quatre établissements hospitaliers, clinique Taoufik, clinique Hannibal, clinique Soukra et clinique Ezzahra et détient plus de 1500 collaborateurs. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Digital Communication et Marketing Specialist- Mahdia,TSI NETWORK,Mahdia,2026-05-18,https://www.emploitunisie.com/recruteur/294222,"TSI NETWORK Profil de lentreprise Entreprise : TSI NETWORK Ville : Mahdia Pays : Tunisie Secteur dactivité : Informatique, SSII, Internet Site Internet : https://tsi-network.net/ Description de l'entreprise Rejoindre TSI Networks, cest intégrer une entreprise innovante au cœur de linformatique et de la communication en Tunisie. Nous offrons à nos clients des solutions IT, administratives et de communication fiables et sur mesure, grâce à une solide expérience et à des équipes multidisciplinaires passionnées. Toujours à lavant-garde des technologies, nous accompagnons les entreprises dans lalignement de leur IT avec leurs enjeux stratégiques. Chez TSI Networks, nous croyons que la réussite passe par lexpertise, la collaboration et la confiance. Si vous souhaitez évoluer dans un environnement stimulant, travailler sur des projets variés et développer vos compétences aux côtés de spécialistes, votre place est parmi nous. Nos offres d'emploi",,,"c#, communication",,,,,,IT & Software,ok
EmploiTunisie,Développeur Web Full-Stack - Nabeul,None,None,None,https://www.emploitunisie.com/recruteur/72303,"3W WIT WEB AGENCY Profil de lentreprise Entreprise : 3W WIT WEB AGENCY Ville : Nabeul Pays : Tunisie Secteur dactivité : Informatique, SSII, Internet - Ingénierie, études développement Site Internet : https://3wwit.com/ Description de l'entreprise 3W WIT une jeune équipe d'ingénieurs jeune, dynamique et créative basé à Nabeul - Tunisie. L'agence a été crée en Août 2015 par Chaibi Maher son fondateur et chef de projets. Cette agence et le fruit d'un longue parcourt d'études ( bac+10 ) d'ingénieur suivi en mastère et doctorat. Ce parcourt a été renforcer par plus de 6 ans d'expériences professionnel en tant qu'ingénieur dans le domaines du Web. Notre maitrise technique et notre capacité à s'améliorer et monter en compétences nous a permit de travailler sur des projets à hautes valeurs ajoutées. On travail sur la mise en place de solutions sur-mesure pour nos différents projets de CRM,ERP, Intranet, Extranet en backend ou frontend. Depuis ça création, l'agence a été orienté pour un développement à l'international principalement en France, Belgique et la Suisse. Nos offres d'emploi",,,"crm, erp",,6 ans d'expérience,"Bac, Bac+4, Bac+5, PhD",,,IT & Software,ok
